consumerid,choice,value_total,treattype,pg_km_adj,pgmidgrade_km_adj,pe_km_adj,dv_ctb,dv_bh,dv_rec,dv_female,dv_age_25to40y,dv_age_morethan65y,dv_somesecondary,dv_somecollege,dv_carpriceadj_p75p100,dv_usageveh_p75p100,stationvisit_avgcarprice_adj
19,1,61.02,1,.2535174,.2629104,.2591988,0,0,0,1,1,0,0,1,0,0,30.71706
20,3,30,1,.3082464,.3196672,.3145513,0,0,0,0,0,0,0,1,1,0,30.71706
21,1,116,1,.2472283,.2563883,.2623814,0,0,0,0,1,0,0,1,0,0,30.71706
22,3,30,1,.2678622,.2777867,.2701578,0,0,0,0,1,0,0,1,0,0,30.71706
23,3,40,1,.2773813,.2876585,.288954,0,0,0,1,1,0,0,1,1,0,30.71706
24,1,30,1,.2776583,.2879457,.2788748,0,0,0,0,0,0,1,0,1,0,30.71706
25,1,85.11,1,.2669078,.276797,.2843706,0,0,0,0,0,0,0,1,0,0,30.71706
26,1,20,1,.2953639,.3063074,.2968709,0,0,0,1,0,0,0,1,0,0,30.71706
27,1,50,1,.2776583,.2879457,.2788748,0,0,0,0,1,0,0,1,1,1,30.71706
28,1,63.02,1,.2608847,.2705507,.2497664,0,0,0,1,1,0,0,1,0,1,30.71706
29,1,30,1,.2572622,.266794,.2464218,0,0,0,0,0,0,1,0,0,0,30.71706
30,1,66.15,1,.2404194,.2493271,.2427477,0,0,0,0,1,0,1,0,0,1,30.71706
31,1,41.03,1,.3363505,.3488126,.3473473,0,0,0,0,1,0,0,1,1,0,30.71706
32,1,108.42,1,.2666833,.2765642,.2702713,0,0,0,0,1,0,0,1,0,0,30.71706
33,1,50,1,.2625754,.2723041,.2671227,0,0,0,0,0,0,0,1,1,1,30.71706
34,1,50,1,.3602555,.3736032,.3401916,0,0,0,1,1,0,0,1,1,0,30.71706
35,1,50,1,.2548034,.2642441,.2572809,0,0,0,0,1,0,0,1,0,0,30.71706
36,1,50,1,.281496,.2919257,.2851308,0,0,0,1,0,0,0,1,1,0,30.71706
37,3,10,2,.2818827,.2923266,.2831661,0,0,0,1,1,0,0,1,0,0,30.71706
38,1,40,2,.3579599,.3712226,.3637986,0,0,0,0,0,0,0,1,0,1,30.71706
39,3,40,2,.2866147,.297234,.2889192,0,0,0,0,0,0,0,1,0,1,30.71706
40,3,30,2,.3020593,.3132508,.3065462,0,0,0,0,0,0,1,0,0,1,30.71706
42,3,10,2,.2801138,.2904922,.2898797,0,0,0,1,1,0,0,1,0,0,30.71706
43,3,82.02,2,.2779954,.2882954,.2984019,0,0,0,1,0,0,0,1,0,0,30.71706
44,3,20,2,.2783567,.28867,.2892831,0,0,0,1,0,0,1,0,1,1,30.71706
45,1,50.02,2,.2702253,.2802373,.2865383,0,0,0,1,0,0,0,1,0,1,30.71706
46,1,50,2,.2773985,.2876763,.287632,0,0,0,0,0,0,0,1,0,0,30.71706
47,3,20,2,.2759419,.2861657,.2853841,0,0,0,1,0,1,0,1,0,1,30.71706
48,1,75.01,2,.2871346,.2977731,.2945045,0,0,0,0,0,0,0,1,1,1,30.71706
49,1,51.03,2,.2663517,.2762202,.2762546,0,0,0,0,1,0,0,1,1,1,30.71706
50,3,30,2,.2641398,.2739264,.2726967,0,0,0,0,0,0,0,1,0,0,30.71706
51,1,155.03,2,.3163442,.328065,.3049786,0,0,0,0,0,0,0,1,0,0,30.71706
52,1,30,2,.2806662,.2910651,.2987027,0,0,0,0,0,0,0,1,0,0,30.71706
53,3,50,2,.2641398,.2739264,.2726967,0,0,0,0,1,0,0,1,0,0,30.71706
54,1,152.06,2,.3026116,.3138236,.305292,0,0,0,1,0,0,0,1,1,0,30.71706
55,1,20,0,.2500953,.2593615,.2555986,0,0,0,0,1,0,0,1,0,0,30.77617
56,3,20,0,.2596944,.2693163,.2630284,0,0,0,0,1,0,1,0,0,0,30.77617
57,2,20,0,.2439728,.2530122,.2586928,0,0,0,1,1,0,0,1,0,0,30.77617
58,3,50,0,.3386207,.3511668,.3447374,0,0,0,0,1,0,0,1,1,1,30.77617
59,1,50,0,.2666833,.2765642,.2702713,0,0,0,0,0,0,0,1,0,0,30.77617
60,3,94.57,0,.2816149,.2920489,.2921993,0,0,0,0,0,1,1,0,0,0,30.77617
61,2,101.83,0,.4040597,.4190305,.4181504,0,0,0,0,1,0,0,0,1,1,30.77617
62,1,50,0,.3602555,.3736032,.3401916,0,0,0,0,0,0,1,0,1,0,30.77617
63,1,20,0,.2641398,.2739264,.2726967,0,0,0,0,1,0,0,1,0,0,30.77617
64,1,50,0,.4554399,.4723143,.4760847,0,0,0,0,1,0,1,0,1,0,30.77617
65,1,50,0,.3742456,.3881117,.3774473,0,0,0,0,1,0,1,0,1,0,30.77617
66,1,40,0,.2818827,.2923266,.2831661,0,0,0,1,0,0,0,1,0,0,30.77617
67,3,20,0,.2733064,.2834327,.2832053,0,0,0,1,1,0,0,1,0,0,30.77617
68,3,50,0,.3055643,.3168857,.3084843,0,0,0,0,0,0,1,0,1,1,30.77617
69,1,20,0,.3246739,.3367033,.3306033,0,0,0,1,0,0,0,0,0,0,30.77617
70,3,30,0,.3602555,.3736032,.3401916,0,0,0,0,0,0,1,0,1,1,30.77617
71,3,94,0,.2859251,.2965189,.2898118,0,0,0,0,1,0,1,0,1,1,30.77617
72,3,97.4,0,.2561046,.2655935,.2593217,0,0,0,0,0,0,0,0,0,1,30.77617
73,3,20,1,.2555931,.265063,.2548619,0,0,0,0,0,0,0,1,0,0,30.77617
74,3,40,1,.2882868,.298968,.2967359,0,0,0,0,0,0,0,1,1,1,30.77617
75,1,40,1,.3024029,.3136072,.3118206,0,0,0,0,1,0,0,1,0,0,30.77617
76,1,90,1,.3748322,.3887201,.3532528,0,0,0,1,1,0,0,1,1,0,30.77617
77,1,15,1,.2540072,.2634183,.2700834,0,0,0,0,0,0,1,0,0,0,30.77617
78,1,29,1,.2919216,.3027376,.2941897,0,0,0,0,1,0,0,1,0,0,30.77617
79,3,50,1,.3238582,.3358574,.3398229,0,0,0,0,1,0,1,0,1,0,30.77617
80,3,30,1,.3425696,.3552621,.3540299,0,0,0,0,1,0,0,1,1,0,30.77617
81,3,20,1,.2816149,.2920489,.2921993,0,0,0,1,1,0,0,1,0,0,30.77617
82,1,75.52,1,.26796,.2778882,.2767986,0,0,0,1,0,0,0,1,0,0,30.77617
83,1,20,1,.3319094,.344207,.3490743,0,0,0,0,0,0,0,1,0,0,30.77617
84,3,114.01,1,.2961492,.3071218,.3041268,0,0,0,1,1,0,0,1,0,0,30.77617
85,3,37.98,1,.2535174,.2629104,.2591988,0,0,0,0,0,1,0,1,0,0,30.77617
86,2,50,1,.2633862,.2731449,.2668426,0,0,0,1,1,0,0,1,0,0,30.77617
87,3,10,1,.2641398,.2739264,.2726967,0,0,0,0,1,0,0,1,0,0,30.77617
88,1,55,1,.281496,.2919257,.2851308,0,0,0,0,1,0,0,0,1,0,30.77617
89,1,142.7,1,.2815204,.291951,.2935097,0,0,0,1,1,0,0,1,1,1,30.77617
90,3,20,1,.2561046,.2655935,.2593217,0,0,0,0,1,0,0,1,0,0,30.77617
91,3,10,2,.2643698,.2741649,.270635,0,0,0,0,1,0,0,1,0,0,30.77617
92,1,10,2,.2640447,.2738278,.266249,0,0,0,0,0,0,0,1,0,0,30.77617
93,2,30,2,.4344632,.4505604,.4529195,0,0,0,0,1,0,1,0,1,1,30.77617
94,1,71.38,2,.2567272,.2662391,.2587611,0,0,0,0,1,0,0,1,0,0,30.77617
95,3,30,2,.3159872,.3276947,.3191859,0,0,0,0,1,0,0,1,1,1,30.77617
96,3,20,2,.2735587,.2836942,.2747115,0,0,0,1,1,0,0,1,1,0,30.77617
97,1,20,2,.2816149,.2920489,.2921993,0,0,0,0,0,0,0,1,0,0,30.77617
98,2,60,2,.3668357,.3804272,.3698609,0,0,0,0,1,0,0,1,1,1,30.77617
99,3,104.01,2,.2923669,.3031993,.3008938,0,0,0,0,1,0,0,1,1,0,30.77617
100,3,60.01,2,.2903252,.301082,.2943948,0,0,0,0,0,0,0,1,1,0,30.77617
101,3,30,2,.2439728,.2530122,.2586928,0,0,0,1,0,0,1,0,0,0,30.77617
102,1,20,2,.3394354,.3520117,.3598677,0,0,0,0,0,0,1,0,0,1,30.77617
103,1,50,2,.2757335,.2859496,.2792028,0,0,0,0,0,0,1,0,0,0,30.77617
104,3,87.32,2,.2535174,.2629104,.2591988,0,0,0,0,1,0,0,1,0,0,30.77617
105,1,15,2,.2606505,.2703078,.2667125,0,0,0,0,0,0,0,1,0,1,30.77617
106,3,30,2,.2439728,.2530122,.2586928,0,0,0,0,0,0,0,0,0,0,30.77617
107,3,25,2,.2998907,.3110019,.3043236,0,0,0,0,0,0,1,0,1,0,30.77617
108,3,20,2,.2570345,.2665578,.262902,0,0,0,0,1,0,0,0,0,0,30.77617
109,1,15,0,.2846923,.2848822,.3119271,0,0,0,0,0,0,0,1,0,0,33.59273
110,1,30,0,.2846923,.2848822,.3119271,0,0,0,0,0,0,0,1,0,0,33.59273
111,1,50,0,.3211115,.3213258,.3729469,0,0,0,1,0,0,0,1,0,1,33.59273
112,1,40,0,.2957777,.2959751,.3415822,0,0,0,0,1,0,0,1,0,1,33.59273
113,1,10,0,.3303473,.3305677,.3711534,0,0,0,0,1,0,0,1,0,1,33.59273
114,1,30,0,.3368532,.337078,.373348,0,0,0,0,0,0,0,1,1,0,33.59273
115,1,20,0,.3726719,.3729206,.4158824,0,0,0,1,0,0,0,1,0,0,33.59273
116,3,115.02,0,.3232104,.3234261,.3553002,0,0,0,0,0,0,0,1,0,0,33.59273
117,2,30,0,.2960819,.2962795,.3271494,0,0,0,1,0,0,0,1,0,0,33.59273
118,1,20,0,.2886878,.2888804,.3163574,0,0,0,0,1,0,0,1,0,0,33.59273
119,1,30,0,.3553292,.3555663,.3940964,0,0,0,1,0,0,0,1,1,0,33.59273
120,1,100,0,.3195541,.3197674,.3583567,0,0,0,0,0,0,0,1,1,0,33.59273
121,1,80,0,.3115587,.3117666,.3609978,0,0,0,1,1,0,0,1,0,0,33.59273
122,3,50,0,.3759494,.3762003,.4172868,0,0,0,1,0,0,0,1,1,0,33.59273
123,1,20,0,.3384278,.3386537,.3745623,0,0,0,0,1,0,0,1,1,0,33.59273
124,2,20,0,.3332367,.333459,.3652391,0,0,0,0,1,0,0,1,0,1,33.59273
125,1,30,0,.2960819,.2962795,.3271494,0,0,0,1,0,0,0,1,0,0,33.59273
126,3,50,0,.2974994,.2976979,.3350503,0,0,0,1,1,0,0,1,0,0,33.59273
127,1,90,1,.3482594,.3484918,.3862977,0,0,0,0,0,0,0,1,1,0,33.59273
128,1,100,1,.3861676,.3864253,.4437045,0,0,0,1,0,0,0,1,1,0,33.59273
129,1,10,1,.3667707,.3670154,.4126566,0,0,0,0,1,0,0,1,1,0,33.59273
130,1,97,1,.3129568,.3131656,.3427578,0,0,0,0,0,0,0,1,0,0,33.59273
131,3,100,1,.3723431,.3725916,.4269239,0,0,0,1,1,0,0,1,0,1,33.59273
132,1,20,1,.273967,.2741498,.3051503,0,0,0,0,0,0,0,1,0,1,33.59273
133,1,60,1,.3224509,.3226661,.3639688,0,0,0,1,0,0,0,1,0,0,33.59273
134,1,12,1,.3063611,.3065655,.3454426,0,0,0,0,1,0,0,1,0,0,33.59273
135,3,40,1,.3000143,.3002145,.3468397,0,0,0,1,0,0,0,1,0,0,33.59273
136,1,40,1,.2953418,.2955389,.3340381,0,0,0,0,0,0,0,1,1,0,33.59273
137,1,80,1,.3000269,.3002271,.3394883,0,0,0,1,0,0,0,1,1,1,33.59273
138,1,134.84,1,.3976128,.3978781,.4482136,0,0,0,0,0,0,0,1,1,0,33.59273
139,3,30,1,.3303473,.3305677,.3711534,0,0,0,1,1,0,1,0,0,0,33.59273
140,2,20,1,.3511228,.3513571,.4039984,0,0,0,0,1,0,1,0,0,0,33.59273
141,1,50,1,.3244442,.3246607,.3568641,0,0,0,0,0,0,0,1,1,1,33.59273
143,1,100,1,.3174893,.3177012,.3558774,0,0,0,0,0,1,0,1,1,0,33.59273
144,1,30,1,.3325656,.3327875,.367988,0,0,0,0,0,0,0,1,0,0,33.59273
145,1,50,2,.3155519,.3157625,.3505622,0,0,0,1,1,0,0,1,0,1,33.59273
146,3,20,2,.3174449,.3176567,.3508021,0,0,0,1,1,0,0,1,1,1,33.59273
147,2,30,2,.2963311,.2965289,.3442158,0,0,0,0,1,0,0,1,0,0,33.59273
148,1,20,2,.4526067,.4529088,.5113396,0,0,0,0,0,0,0,1,1,0,33.59273
149,1,124.02,2,.3298011,.3300212,.3702707,0,0,0,0,0,0,0,1,1,0,33.59273
150,1,20,2,.315084,.3152942,.3610168,0,0,0,1,1,0,0,1,0,1,33.59273
151,2,60,2,.2879414,.2881336,.3179184,0,0,0,0,1,0,0,1,0,1,33.59273
152,1,50,2,.3195541,.3197674,.3583567,0,0,0,0,1,0,0,1,1,0,33.59273
153,1,20,2,.2935133,.2937092,.3275896,0,0,0,1,0,0,0,1,0,0,33.59273
155,1,132,2,.4079006,.4081728,.4195403,0,0,0,0,1,0,0,1,1,0,33.59273
156,3,20,2,.3415494,.3417774,.3757744,0,0,0,0,1,0,0,1,1,1,33.59273
157,2,30,2,.3126489,.3128575,.3524505,0,0,0,1,1,0,0,1,0,0,33.59273
158,2,59.8,2,.3018652,.3020666,.3401671,0,0,0,0,1,0,0,1,0,0,33.59273
159,1,50,2,.2963311,.2965289,.3442158,0,0,0,1,1,0,0,1,0,0,33.59273
160,1,119.01,2,.3245968,.3248134,.3642163,0,0,0,0,0,0,0,1,1,1,33.59273
161,1,50,2,.3079783,.3081838,.3481635,0,0,0,0,0,0,0,1,0,0,33.59273
162,3,50,2,.3803337,.3805875,.4285348,0,0,0,0,0,0,0,1,1,0,33.59273
163,1,50,0,.4253359,.4395185,.4371005,0,0,0,1,0,0,0,1,1,0,31.5279
164,3,20,0,.3300212,.3410256,.3380593,0,0,0,1,0,0,0,1,1,0,31.5279
165,1,30,0,.304671,.31483,.314752,0,0,0,1,0,1,0,1,1,0,31.5279
166,1,30,0,.320199,.3308758,.3350406,0,0,0,1,0,1,0,1,0,0,31.5279
167,2,50,0,.317561,.3281499,.3200705,0,0,0,1,1,0,0,1,0,0,31.5279
168,1,115,0,.3005277,.3105486,.3030894,0,0,0,1,0,0,0,1,0,0,31.5279
169,1,50,0,.3152942,.3258076,.3296103,0,0,0,1,0,1,0,1,0,0,31.5279
170,3,28,0,.3402683,.3516143,.321514,0,0,0,1,0,0,0,1,0,0,31.5279
171,1,100,0,.4826794,.4987741,.5005421,0,0,0,1,0,0,0,1,1,0,31.5279
172,1,50,0,.3248134,.3356441,.3325315,0,0,0,0,0,0,0,1,1,0,31.5279
173,2,50,0,.322537,.3332918,.3251886,0,0,0,1,1,0,0,1,0,0,31.5279
174,1,50,0,.4223713,.436455,.4355122,0,0,0,1,0,1,0,1,1,0,31.5279
175,2,30,0,.3002145,.310225,.3166666,0,0,0,1,1,0,0,1,0,0,31.5279
176,1,30,0,.3008631,.3108953,.3192038,0,0,0,1,0,1,0,1,0,0,31.5279
177,2,50,0,.3248134,.3356441,.3325315,0,0,0,0,0,0,0,1,1,0,31.5279
178,1,50,0,.3239305,.3347318,.330702,0,0,0,1,0,0,0,1,0,0,31.5279
179,2,31,0,.3597995,.3717968,.3755538,0,0,0,1,0,0,0,1,1,0,31.5279
180,3,50,0,.2818986,.2912983,.2687333,0,0,0,1,1,0,0,1,0,0,31.5279
181,3,30,1,.3331097,.344217,.3435324,0,0,0,0,1,0,1,0,0,0,31.5279
182,1,50,1,.3234261,.3342106,.324391,0,0,0,0,1,0,0,1,0,0,31.5279
183,1,50,1,.3348713,.3460374,.3358614,0,0,0,0,1,0,1,0,0,0,31.5279
184,1,50,1,.3225451,.3333002,.3253492,0,0,0,1,0,0,1,0,1,0,31.5279
185,2,35,1,.2898374,.2995018,.2760283,0,0,0,1,1,0,0,1,0,0,31.5279
186,1,40,1,.3756276,.3881527,.3865521,0,0,0,1,1,0,1,0,0,0,31.5279
187,1,50,1,.3184228,.3290404,.3192979,0,0,0,0,1,0,0,1,0,0,31.5279
188,1,50,1,.4523259,.4674084,.4544176,0,0,0,0,1,0,1,0,0,0,31.5279
189,1,58,1,.295911,.305778,.3053016,0,0,0,1,0,0,0,1,1,0,31.5279
190,3,40,1,.3019547,.3120232,.3030124,0,0,0,0,1,0,0,1,0,1,31.5279
191,3,100,1,.3394755,.3507951,.3409201,0,0,0,0,1,0,0,1,1,0,31.5279
192,1,100,1,.2970912,.3069975,.3095424,0,0,0,0,0,0,0,1,0,0,31.5279
193,2,150,1,.3305677,.3415903,.3388651,0,0,0,1,0,0,0,1,0,0,31.5279
194,1,30,1,.2970912,.3069975,.3095424,0,0,0,1,0,0,0,1,0,0,31.5279
195,1,146,1,.5316531,.5493808,.5545039,0,0,0,1,1,0,0,1,1,0,31.5279
196,1,50,1,.4826794,.4987741,.5005421,0,0,0,0,0,0,0,1,1,0,31.5279
197,1,20,1,.3533979,.3651818,.359615,0,0,0,0,1,0,0,1,0,0,31.5279
198,3,100,1,.3135719,.3240278,.3143622,0,0,0,1,1,0,0,1,0,0,31.5279
199,2,30,2,.3389302,.3502316,.3527102,0,0,0,1,1,0,0,1,1,0,31.5279
200,1,40,2,.2934537,.3032388,.3013696,0,0,0,1,1,0,0,1,0,0,31.5279
201,1,30,2,.3219535,.3326889,.3366049,0,0,0,1,1,0,0,1,0,0,31.5279
202,1,30,2,.2778505,.2871153,.2824737,0,0,0,1,1,0,0,1,0,0,31.5279
203,3,30,2,.3699854,.3823223,.3721102,0,0,0,0,0,0,1,0,0,0,31.5279
204,2,50,2,.3275863,.3385095,.3305767,0,0,0,1,1,0,0,1,0,0,31.5279
205,3,40,2,.3597995,.3717968,.3755538,0,0,0,1,1,0,0,1,1,0,31.5279
206,1,30,2,.2976979,.3076245,.3059028,0,0,0,1,0,0,1,0,0,0,31.5279
207,1,20,2,.3048995,.3150662,.3076212,0,0,0,1,0,0,0,1,0,0,31.5279
208,3,40,2,.2976979,.3076245,.3059028,0,0,0,1,1,0,0,1,0,0,31.5279
209,1,50,2,.2913556,.3010707,.3004726,0,0,0,1,1,0,0,1,1,0,31.5279
210,1,40,2,.351055,.3627608,.3527469,0,0,0,1,1,0,1,0,1,0,31.5279
211,3,50,2,.3402661,.3516121,.3426903,0,0,0,1,1,0,0,1,1,0,31.5279
212,3,40,2,.350258,.3619372,.3652329,0,0,0,0,0,0,0,1,0,0,31.5279
213,1,30,2,.3426899,.3541168,.3466796,0,0,0,1,1,0,1,0,1,0,31.5279
214,3,70,2,.3326382,.3437299,.3431236,0,0,0,0,0,0,0,1,0,0,31.5279
215,1,40,2,.3555663,.3674224,.3598123,0,0,0,0,1,0,0,1,1,0,31.5279
216,1,30,2,.2881336,.2977412,.2902613,0,0,0,1,1,0,0,1,0,0,31.5279
217,1,20,0,.2760382,.2864982,.2845458,0,0,0,0,0,0,1,0,0,0,28.26698
218,2,112.03,0,.2732606,.2836153,.277995,0,0,0,0,0,1,0,1,0,1,28.26698
219,1,100,0,.2478428,.2572344,.2455112,0,0,0,0,1,0,0,1,0,1,28.26698
220,3,100,0,.3001924,.3115676,.2952772,0,0,0,0,1,0,1,0,0,0,28.26698
221,3,50,0,.2721261,.2824379,.2740068,0,0,0,0,1,0,0,1,1,0,28.26698
222,3,40,0,.4800091,.4981982,.4884149,0,0,0,0,0,0,0,1,1,1,28.26698
223,1,95,0,.2755732,.2860156,.2682129,0,0,0,0,0,0,0,1,0,1,28.26698
224,3,60.01,0,.3288219,.341282,.3290048,0,0,0,0,1,0,1,0,1,0,28.26698
225,1,50,0,.3318377,.3444121,.340864,0,0,0,0,0,0,0,0,0,0,28.26698
226,3,38,0,.2498721,.2593406,.2414033,0,0,0,0,0,0,0,1,0,0,28.26698
227,3,20,0,.2607141,.2705934,.255999,0,0,0,0,1,0,0,1,0,0,28.26698
228,1,100,0,.273634,.2840029,.2685332,0,0,0,0,1,0,0,1,0,1,28.26698
229,1,100,0,.2478428,.2572344,.2455112,0,0,0,0,1,0,1,0,0,1,28.26698
230,1,60,0,.2385118,.2475498,.2450319,0,0,0,0,0,0,0,1,0,1,28.26698
231,1,120,0,.3433145,.3563238,.337907,0,0,0,0,1,0,1,0,1,1,28.26698
232,3,60,0,.3047132,.3162598,.3062384,0,0,0,0,0,0,0,1,0,1,28.26698
233,1,50,0,.3640134,.3778071,.3587732,0,0,0,0,0,0,1,0,0,1,28.26698
234,1,116.01,0,.2512812,.260803,.2490188,0,0,0,1,0,0,0,1,0,1,28.26698
235,3,50,1,.2680157,.2781716,.2756497,0,0,0,0,1,0,0,1,0,0,28.26698
236,1,92,1,.2778313,.2883592,.2727351,0,0,0,1,1,0,0,1,0,0,28.26698
237,1,100,1,.3591757,.372786,.3282962,0,0,0,0,0,0,0,1,1,1,28.26698
238,1,80,1,.2817622,.2924391,.2871549,0,0,0,0,1,0,1,0,0,0,28.26698
239,3,40,1,.2581345,.2679161,.2521891,0,0,0,0,1,0,0,1,0,0,28.26698
240,1,92,1,.2570801,.2668217,.2523357,0,0,0,1,0,0,0,1,0,0,28.26698
241,3,20,1,.2580408,.2678189,.2529453,0,0,0,0,0,0,0,1,0,1,28.26698
242,3,20,1,.2778583,.2883873,.2743199,0,0,0,0,0,0,1,0,0,0,28.26698
243,1,80,1,.2633048,.2732823,.2641841,0,0,0,0,1,0,0,1,0,0,28.26698
244,3,50,1,.2902384,.3012365,.3033181,0,0,0,0,1,0,0,1,0,0,28.26698
245,1,50,1,.279551,.2901441,.2802316,0,0,0,0,1,0,0,1,0,0,28.26698
246,1,50,1,.2961977,.3074217,.315315,0,0,0,1,1,0,0,1,0,0,28.26698
247,1,20,1,.2761864,.286652,.2875978,0,0,0,0,1,0,0,1,0,1,28.26698
248,1,15,1,.2833062,.2940416,.2884956,0,0,0,0,1,0,0,1,0,0,28.26698
249,1,20,1,.2691993,.2794001,.2736309,0,0,0,0,1,0,0,1,0,0,28.26698
250,3,20,1,.2761864,.286652,.2875978,0,0,0,0,0,0,0,1,0,0,28.26698
251,1,60,1,.2512812,.260803,.2490188,0,0,0,1,1,0,0,1,0,0,28.26698
252,1,40,1,.2817622,.2924391,.2871549,0,0,0,0,1,0,1,0,0,0,28.26698
253,1,25,2,.2444973,.2537621,.2421011,0,0,0,0,0,0,0,1,0,0,28.26698
254,3,89.03,2,.3454742,.3585654,.3163782,0,0,0,0,1,0,0,1,1,0,28.26698
255,3,40,2,.3061,.3176991,.3105406,0,0,0,0,0,1,0,1,1,0,28.26698
256,1,77.53,2,.2770781,.2875775,.2759791,0,0,0,1,0,1,0,1,1,0,28.26698
257,1,120,2,.2513458,.2608701,.2461654,0,0,0,0,1,0,0,1,0,1,28.26698
258,1,30,2,.2895204,.3004913,.2880667,0,0,0,0,1,0,0,1,0,0,28.26698
259,1,124,2,.2570801,.2668217,.2523357,0,0,0,0,0,0,1,0,0,1,28.26698
260,1,50,2,.2869389,.297812,.2996879,0,0,0,0,1,0,0,1,1,1,28.26698
261,3,69.98,2,.3337995,.3464482,.3405254,0,0,0,0,1,0,0,1,0,1,28.26698
262,3,50,2,.3980286,.4131112,.3894699,0,0,0,0,0,0,0,1,0,1,28.26698
263,1,30,2,.259861,.269708,.2558299,0,0,0,1,1,0,0,1,1,1,28.26698
264,3,50,2,.2509808,.2604913,.2450966,0,0,0,0,0,0,0,1,0,0,28.26698
265,2,61.01,2,.3112659,.3230608,.3161076,0,0,0,0,0,1,0,1,1,1,28.26698
266,1,89,2,.2902668,.3012659,.283798,0,0,0,0,0,0,0,1,1,1,28.26698
267,1,20,2,.2584523,.2682459,.2563435,0,0,0,0,0,1,1,0,0,0,28.26698
268,3,90,2,.2743839,.2847812,.282929,0,0,0,0,0,0,0,1,0,0,28.26698
269,1,73.02,2,.2924549,.303537,.2983728,0,0,0,0,0,0,0,1,0,1,28.26698
270,1,20,2,.2976086,.308886,.297257,0,0,0,1,1,0,0,1,0,1,28.26698
271,1,80,0,.2698324,.2846638,.2693537,0,0,0,1,0,0,0,1,0,1,32.27898
272,1,58.72,0,.4529887,.4778873,.4411333,0,0,0,1,1,0,0,1,1,1,32.27898
273,1,72.49,0,.3028267,.3194716,.2879558,0,0,0,1,1,0,0,1,0,1,32.27898
274,1,25,0,.3179725,.33545,.3027895,0,0,0,1,1,0,1,0,0,0,32.27898
275,3,70.8,0,.2711354,.2860384,.2601698,0,0,0,0,1,0,1,0,0,0,32.27898
276,1,85,0,.301011,.3175561,.2844512,0,0,0,0,1,0,0,1,1,1,32.27898
277,1,67.9,0,.277156,.29239,.2756497,0,0,0,0,1,0,1,0,0,0,32.27898
278,3,45,0,.2672665,.2819569,.2563435,0,0,0,1,0,0,0,1,0,1,32.27898
279,1,20,0,.3179725,.33545,.3027895,0,0,0,0,0,0,0,1,0,0,32.27898
280,1,45,0,.2707972,.2856816,.2558915,0,0,0,1,1,0,1,0,0,1,32.27898
281,3,30,0,.27838,.2936812,.2736309,0,0,0,0,1,0,0,1,0,1,32.27898
282,1,30,0,.2672665,.2819569,.2563435,0,0,0,1,1,0,0,1,0,1,32.27898
283,1,72.38,0,.2813159,.2967785,.2829294,0,0,0,1,0,0,0,1,0,1,32.27898
284,3,30,0,.2672665,.2819569,.2563435,0,0,0,0,0,0,0,1,0,1,32.27898
285,1,85.79,0,.2462492,.2597843,.2330025,0,0,0,0,1,0,1,0,0,1,32.27898
286,1,110.84,0,.2698324,.2846638,.2693537,0,0,0,0,0,0,0,1,0,1,32.27898
287,1,20,0,.2704642,.2853303,.2547916,0,0,0,0,0,0,0,1,0,1,32.27898
